//////////////////////
fid: 11545810063440, id: 0, count: 54
fid: 11545818420176, id: 19, count: 5
fid: 11545810057728, id: 20, count: 70
fid: 11545809900176, id: 21, count: 11
fid: 11545812219712, id: 22, count: 7
fid: 11545820797584, id: 23, count: 5
fid: 11545820468560, id: 24, count: 4
fid: 11545820807248, id: 25, count: 11
fid: 11545820685376, id: 26, count: 2
fid: 11545812273152, id: 27, count: 6
fid: 11545810061056, id: 28, count: 16
fid: 11545820580528, id: 29, count: 6
fid: 11545812297728, id: 30, count: 0
//////////////////////
fid: 11545695617168, id: 0, count: 52
fid: 11545810070320, id: 1, count: 56
fid: 11545810065072, id: 2, count: 52
fid: 11545812385872, id: 3, count: 70
fid: 11545812370384, id: 4, count: 64
fid: 11545812370992, id: 5, count: 66
fid: 11545810063440, id: 6, count: 65
fid: 11545812297728, id: 7, count: 14
fid: 11545818725344, id: 8, count: 42
fid: 11545812370688, id: 9, count: 50
fid: 11545695619696, id: 10, count: 66
fid: 11545820580528, id: 11, count: 6
fid: 11545810058032, id: 12, count: 59
fid: 11545820468560, id: 13, count: 7
fid: 11545820710848, id: 14, count: 4
fid: 11545810076800, id: 15, count: 60
fid: 11545690940560, id: 16, count: 64
fid: 11545809900176, id: 17, count: 6
fid: 11545820862208, id: 18, count: 41
fid: 11545810057728, id: 19, count: 52
fid: 11545810061056, id: 20, count: 7
fid: 11545812273152, id: 21, count: 11
fid: 11545818566688, id: 22, count: 4
fid: 11545818420176, id: 23, count: 12
fid: 11545819581296, id: 24, count: 5
fid: 11545812219712, id: 25, count: 13
fid: 11545810081536, id: 26, count: 8
fid: 11545820685376, id: 27, count: 3
fid: 11545820807248, id: 28, count: 5
fid: 11545819669248, id: 29, count: 2
fid: 11545820797584, id: 30, count: 2
//////////////////////
fid: 11545810058032, id: 0, count: 53
fid: 11545812370688, id: 1, count: 68
fid: 11545812370384, id: 2, count: 57
fid: 11545810063440, id: 3, count: 67
fid: 11545812385872, id: 4, count: 60
fid: 11545810065072, id: 5, count: 70
fid: 11545809900176, id: 6, count: 10
fid: 11545690940560, id: 7, count: 54
fid: 11545820862208, id: 8, count: 64
fid: 11545810076800, id: 9, count: 62
fid: 11545820580528, id: 10, count: 8
fid: 11545810057728, id: 11, count: 58
fid: 11545820468560, id: 12, count: 4
fid: 11545695617168, id: 13, count: 48
fid: 11545818725344, id: 14, count: 52
fid: 11545812297728, id: 15, count: 8
fid: 11545812370992, id: 16, count: 53
fid: 11545812219712, id: 17, count: 15
fid: 11545695619696, id: 18, count: 40
fid: 11545818566688, id: 19, count: 9
fid: 11545820807248, id: 20, count: 3
fid: 11545820797584, id: 21, count: 5
fid: 11545810070320, id: 22, count: 52
fid: 11545820685376, id: 23, count: 4
fid: 11545819581296, id: 24, count: 6
fid: 11545810061056, id: 25, count: 4
fid: 11545820710848, id: 26, count: 18
fid: 11545818420176, id: 27, count: 6
fid: 11545810081536, id: 28, count: 2
fid: 11545819669248, id: 29, count: 7
fid: 11545812273152, id: 30, count: 1
//////////////////////
fid: 11545812370992, id: 0, count: 56
fid: 11545819669248, id: 1, count: 8
fid: 11545812385872, id: 2, count: 54
fid: 11545818420176, id: 3, count: 3
fid: 11545818725344, id: 4, count: 65
fid: 11545812219712, id: 5, count: 3
fid: 11545695619696, id: 6, count: 47
fid: 11545810076800, id: 7, count: 70
fid: 11545810063440, id: 8, count: 58
fid: 11545810058032, id: 9, count: 69
fid: 11545812370688, id: 10, count: 47
fid: 11545690940560, id: 11, count: 53
fid: 11545820862208, id: 12, count: 56
fid: 11545810070320, id: 13, count: 67
fid: 11545695617168, id: 14, count: 57
fid: 11545818566688, id: 15, count: 3
fid: 11545810057728, id: 16, count: 47
fid: 11545810065072, id: 17, count: 55
fid: 11545812370384, id: 18, count: 54
fid: 11545812297728, id: 19, count: 7
fid: 11545810081536, id: 20, count: 15
fid: 11545820468560, id: 21, count: 7
fid: 11545820710848, id: 22, count: 12
fid: 11545820685376, id: 23, count: 11
fid: 11545819581296, id: 24, count: 6
fid: 11545810061056, id: 25, count: 6
fid: 11545820807248, id: 26, count: 5
fid: 11545812273152, id: 27, count: 6
fid: 11545809900176, id: 28, count: 6
fid: 11545820580528, id: 29, count: 10
fid: 11545820797584, id: 30, count: 5
//////////////////////
fid: 11545810057728, id: 0, count: 63
fid: 11545810070320, id: 1, count: 66
fid: 11545820862208, id: 2, count: 58
fid: 11545812385872, id: 3, count: 57
fid: 11545810065072, id: 4, count: 69
fid: 11545810076800, id: 5, count: 38
fid: 11545695619696, id: 6, count: 69
fid: 11545812370688, id: 7, count: 57
fid: 11545812370384, id: 8, count: 48
fid: 11545812370992, id: 9, count: 56
fid: 11545810058032, id: 10, count: 44
fid: 11545690940560, id: 11, count: 57
fid: 11545810063440, id: 12, count: 53
fid: 11545818725344, id: 13, count: 55
fid: 11545820710848, id: 14, count: 18
fid: 11545695617168, id: 15, count: 54
fid: 11545818566688, id: 16, count: 6
fid: 11545820685376, id: 17, count: 7
fid: 11545812219712, id: 18, count: 9
fid: 11545812273152, id: 19, count: 9
fid: 11545820797584, id: 20, count: 14
fid: 11545819581296, id: 21, count: 2
fid: 11545820468560, id: 22, count: 13
fid: 11545820580528, id: 23, count: 3
fid: 11545809900176, id: 24, count: 12
fid: 11545812297728, id: 25, count: 6
fid: 11545810061056, id: 26, count: 11
fid: 11545810081536, id: 27, count: 5
fid: 11545818420176, id: 28, count: 3
fid: 11545819669248, id: 29, count: 4
fid: 11545820807248, id: 30, count: 2
//////////////////////
fid: 11545810065072, id: 0, count: 57
fid: 11545810076800, id: 1, count: 60
fid: 11545810063440, id: 2, count: 46
fid: 11545810058032, id: 3, count: 62
fid: 11545695617168, id: 4, count: 53
fid: 11545810057728, id: 5, count: 47
fid: 11545820862208, id: 6, count: 60
fid: 11545695619696, id: 7, count: 50
fid: 11545812370992, id: 8, count: 63
fid: 11545812385872, id: 9, count: 46
fid: 11545812370688, id: 10, count: 58
fid: 11545690940560, id: 11, count: 69
fid: 11545809900176, id: 12, count: 13
fid: 11545812370384, id: 13, count: 65
fid: 11545818725344, id: 14, count: 57
fid: 11545820685376, id: 15, count: 9
fid: 11545810070320, id: 16, count: 46
fid: 11545810081536, id: 17, count: 9
fid: 11545820468560, id: 18, count: 6
fid: 11545818420176, id: 19, count: 6
fid: 11545812297728, id: 20, count: 5
fid: 11545819669248, id: 21, count: 11
fid: 11545820797584, id: 22, count: 7
fid: 11545812273152, id: 23, count: 9
fid: 11545820710848, id: 24, count: 13
fid: 11545820580528, id: 25, count: 10
fid: 11545819581296, id: 26, count: 7
fid: 11545820807248, id: 27, count: 6
fid: 11545812219712, id: 28, count: 5
fid: 11545810061056, id: 29, count: 9
fid: 11545818566688, id: 30, count: 4
//////////////////////
fid: 11545820685376, id: 0, count: 5
fid: 11545810065072, id: 1, count: 46
fid: 11545812370992, id: 2, count: 80
fid: 11545810070320, id: 3, count: 46
fid: 11545818725344, id: 4, count: 71
fid: 11545812370384, id: 5, count: 52
fid: 11545812297728, id: 6, count: 11
fid: 11545810063440, id: 7, count: 58
fid: 11545812370688, id: 8, count: 49
fid: 11545812385872, id: 9, count: 53
fid: 11545695619696, id: 10, count: 61
fid: 11545810061056, id: 11, count: 7
fid: 11545818566688, id: 12, count: 10
fid: 11545820862208, id: 13, count: 59
fid: 11545812219712, id: 14, count: 13
fid: 11545810058032, id: 15, count: 51
fid: 11545810076800, id: 16, count: 51
fid: 11545695617168, id: 17, count: 58
fid: 11545690940560, id: 18, count: 61
fid: 11545820468560, id: 19, count: 6
fid: 11545810057728, id: 20, count: 53
fid: 11545819581296, id: 21, count: 8
fid: 11545820797584, id: 22, count: 5
fid: 11545820710848, id: 23, count: 9
fid: 11545809900176, id: 24, count: 5
fid: 11545820580528, id: 25, count: 6
fid: 11545812273152, id: 26, count: 9
fid: 11545818420176, id: 27, count: 7
fid: 11545819669248, id: 28, count: 7
fid: 11545820807248, id: 29, count: 10
fid: 11545810081536, id: 30, count: 1
//////////////////////
